DUID,Region,Name,Technology,Maximum capacity,Late start
WHITSF1,QLD,Whitsunday Solar Farm,Solar,56.0,False
WGWF1,SA,Willogoleche Wind Farm,Wind,119.0,False
WINTSF1,VIC,Winton Solar Farm,Solar,85.0,True
WOODLWN1,NSW,Woodlawn Wind Farm,Wind,48.0,False
WOOLGSF1,QLD,Woolooga Solar Farm,Solar,176.0,True
WUNUSF1,VIC,Wunghnu Solar Farm,Solar,75.0,True
WYASF1,NSW,Wyalong Solar Farm,Solar,53.0,True
YARANSF1,QLD,Yarranlea Solar Farm,Solar,103.0,True
YATSF1,VIC,Yatpool Solar Farm,Solar,81.0,True
YENDWF1,VIC,Yendon Wind Farm,Wind,142.0,False
