Region,Date,Highest-priced hour,Lowest-priced hour
NSW,2016-06-24,7,3
NSW,2016-06-25,20,4
NSW,2016-06-26,18,5
NSW,2016-06-27,8,2
NSW,2016-06-28,17,3
NSW,2016-06-29,7,4
NSW,2016-06-30,8,2
NSW,2016-07-01,8,3
NSW,2016-07-02,9,13
NSW,2016-07-03,17,5
NSW,2016-07-04,8,3
NSW,2016-07-05,9,3
NSW,2016-07-06,18,4
NSW,2016-07-07,9,4
NSW,2016-07-08,9,4
NSW,2016-07-09,17,3
NSW,2016-07-10,17,4
NSW,2016-07-11,18,3
NSW,2016-07-12,18,4
NSW,2016-07-13,20,4
NSW,2016-07-14,17,4
NSW,2016-07-15,17,4
NSW,2016-07-16,9,3
NSW,2016-07-17,18,4
NSW,2016-07-18,6,4
NSW,2016-07-19,7,5
NSW,2016-07-20,17,4
NSW,2016-07-21,7,23
NSW,2016-07-22,18,3
NSW,2016-07-23,17,1
NSW,2016-07-24,18,4
NSW,2016-07-25,18,2
NSW,2016-07-26,17,3
NSW,2016-07-27,18,3
NSW,2016-07-28,18,4
NSW,2016-07-29,7,3
NSW,2016-07-30,18,3
NSW,2016-07-31,18,4
NSW,2016-08-01,18,2
NSW,2016-08-02,18,4
NSW,2016-08-03,17,2
NSW,2016-08-04,18,2
NSW,2016-08-05,6,3
NSW,2016-08-06,18,3
NSW,2016-08-07,18,12
NSW,2016-08-08,6,3
NSW,2016-08-09,18,3
NSW,2016-08-10,18,2
NSW,2016-08-11,18,3
NSW,2016-08-12,18,2
NSW,2016-08-13,18,3
NSW,2016-08-14,18,4
NSW,2016-08-15,6,3
NSW,2016-08-16,18,3
NSW,2016-08-17,18,3
NSW,2016-08-18,18,3
NSW,2016-08-19,18,3
NSW,2016-08-20,18,4
NSW,2016-08-21,18,3
NSW,2016-08-22,7,3
NSW,2016-08-23,18,4
NSW,2016-08-24,7,4
NSW,2016-08-25,6,13
NSW,2016-08-26,6,11
NSW,2016-08-27,18,13
NSW,2016-08-28,18,13
NSW,2016-08-29,18,3
NSW,2016-08-30,18,4
NSW,2016-08-31,18,5
NSW,2016-09-01,6,4
NSW,2016-09-02,10,3
NSW,2016-09-03,18,4
NSW,2016-09-04,18,12
NSW,2016-09-05,18,16
NSW,2016-09-06,18,5
NSW,2016-09-07,6,5
NSW,2016-09-08,22,8
NSW,2016-09-09,22,3
NSW,2016-09-10,18,4
NSW,2016-09-11,18,10
NSW,2016-09-12,18,4
NSW,2016-09-13,18,3
NSW,2016-09-14,18,3
NSW,2016-09-15,8,3
NSW,2016-09-16,6,3
NSW,2016-09-17,18,4
NSW,2016-09-18,18,4
NSW,2016-09-19,18,2
NSW,2016-09-20,18,3
NSW,2016-09-21,18,3
NSW,2016-09-22,18,3
NSW,2016-09-23,18,13
NSW,2016-09-24,18,3
NSW,2016-09-25,18,4
NSW,2016-09-26,18,3
NSW,2016-09-27,18,3
NSW,2016-09-28,22,10
NSW,2016-09-29,8,3
NSW,2016-09-30,18,3
NSW,2016-10-01,23,3
NSW,2016-10-02,17,3
NSW,2016-10-03,22,4
NSW,2016-10-04,6,21
NSW,2016-10-05,18,2
NSW,2016-10-06,5,8
NSW,2016-10-07,6,3
NSW,2016-10-08,8,12
NSW,2016-10-09,18,4
NSW,2016-10-10,15,2
NSW,2016-10-11,6,1
NSW,2016-10-12,18,3
NSW,2016-10-13,5,21
NSW,2016-10-14,6,3
NSW,2016-10-15,18,23
NSW,2016-10-16,18,2
NSW,2016-10-17,6,1
NSW,2016-10-18,19,2
NSW,2016-10-19,6,2
NSW,2016-10-20,22,2
NSW,2016-10-21,22,1
NSW,2016-10-22,6,23
NSW,2016-10-23,19,15
NSW,2016-10-24,6,13
NSW,2016-10-25,18,2
NSW,2016-10-26,6,3
NSW,2016-10-27,6,3
NSW,2016-10-28,6,3
NSW,2016-10-29,22,10
NSW,2016-10-30,16,4
NSW,2016-10-31,22,2
NSW,2016-11-01,8,4
NSW,2016-11-02,19,2
NSW,2016-11-03,19,2
NSW,2016-11-04,15,21
NSW,2016-11-05,19,2
NSW,2016-11-06,18,3
NSW,2016-11-07,16,2
NSW,2016-11-08,15,2
NSW,2016-11-09,10,1
NSW,2016-11-10,19,3
NSW,2016-11-11,13,2
NSW,2016-11-12,14,21
NSW,2016-11-13,23,5
NSW,2016-11-14,22,1
NSW,2016-11-15,6,21
NSW,2016-11-16,5,2
NSW,2016-11-17,6,1
NSW,2016-11-18,15,1
NSW,2016-11-19,16,1
NSW,2016-11-20,19,1
NSW,2016-11-21,12,2
NSW,2016-11-22,15,4
NSW,2016-11-23,12,15
NSW,2016-11-24,6,2
NSW,2016-11-25,22,2
NSW,2016-11-26,22,3
NSW,2016-11-27,16,5
NSW,2016-11-28,15,2
NSW,2016-11-29,13,21
NSW,2016-11-30,13,1
NSW,2016-12-01,6,21
NSW,2016-12-02,22,5
NSW,2016-12-03,15,23
NSW,2016-12-04,17,5
NSW,2016-12-05,14,3
NSW,2016-12-06,6,19
NSW,2016-12-07,15,21
NSW,2016-12-08,13,2
NSW,2016-12-09,22,3
NSW,2016-12-10,16,3
NSW,2016-12-11,16,3
NSW,2016-12-12,16,2
NSW,2016-12-13,17,3
NSW,2016-12-14,14,1
NSW,2016-12-15,16,1
NSW,2016-12-16,9,1
NSW,2016-12-17,15,5
NSW,2016-12-18,7,23
NSW,2016-12-19,16,0
