Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1,BANGOWF1,BANGOWF2,BOCORWF1,BODWF1,COLWF01,CROOKWF2,CROOKWF3,CRURWF1,FLYCRKWF,GULLRWF1,GULLRWF2,GUNNING1,RYEPARK1,SAPHWF1,STWF1,TARALGA1,WOODLWN1,WRWF1
Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-05,,78.8274599776244,88.31308997260662,75.5230605474544,86.58788873049829,89.23809276297634,86.45104109956694,85.95230377006122,86.59246606737794,78.87762717403325,69.33617133863926,88.75019265273363,93.18577370791812,73.97889595501361,89.45025411531037,88.44480579561811,82.45906614868498,73.87668836601935,73.24407998124774,85.91354303761767,86.5437575152492,,86.22988633040909,85.13534166601856,77.52209096819942,95.2033118496932,,,88.85647591276508,87.65131223164893,90.36191988277567,87.14822132628434,,88.60057724015145,78.35791508071448,,109.73300979622111,110.48928088804037,105.67091547438827,94.40102422124728,102.76624201637941,95.68234718181142,,95.23349569093362,,96.65124703610145,100.17815049012064,98.51866353417182,,94.77286589424408,92.93719794121093,104.9870335302119,110.80379402688705,95.83461485954133
2023-03-12,,74.48151017614094,75.42461109219627,80.33477193577082,75.98722595597128,79.39710510281216,76.08090783479352,78.05344823788866,75.25290770681471,89.02651303134152,70.08005908435582,76.72237363091173,76.59580637625696,77.79020218223327,77.93799494142705,76.0148865405553,87.97308260635732,73.30944043680216,76.82434283683904,77.18346862416482,73.64719053542574,,75.17257341189858,71.56130060100044,75.77258360511973,78.27764171047193,,,78.02514827938816,75.61140100124916,76.9268594799438,74.71398049245545,,74.22281126966874,75.21683054182762,,83.26634959886742,85.95384408084884,92.35477401458412,89.29635752888984,87.38389751185079,83.91233219609337,,91.48636125311299,,83.41393397481194,84.68617327918896,83.75454412904335,,90.06728123492823,91.2331174017256,85.1368355399115,86.94252458348848,91.71583460051735
2023-03-19,,77.43538432931923,86.2523021350386,102.67676939083822,100.9774457963898,89.83253959537394,89.75828748641631,96.19901164311558,88.5141668298867,45.93571747405417,66.25140350987303,98.07886194783235,111.44312770376817,93.7614275318353,97.19714623072626,88.95558469268286,109.11959189508744,79.7550719451413,94.5224482506477,86.12540361633715,81.84367872990127,,86.75918042827962,76.87444976807188,101.25364592818444,95.8710522736357,,,122.83582850830452,95.06301548103883,84.65279589111731,86.74230473289934,,78.46243643915197,89.3416550142995,,120.43485944579594,107.07540273442801,270.27707441086324,150.94576071019898,204.64974174803476,194.00043446123283,,194.66521967783973,,185.9681292343059,189.73133401767373,115.60143137450632,,174.1099463956426,185.93448662824161,212.34424303780975,256.87011985535014,154.28461169471143
2023-03-26,,78.07738380025872,75.6714035334925,78.94931075395783,74.79668427689077,76.13294737004223,74.63784902519926,76.94342461974311,81.73021765119297,95.54203711604096,74.12427060847847,77.15114448213211,75.12233230490884,74.49989079585137,81.15818193007232,77.82852450269147,74.19678865087985,72.57272221870738,75.28183278641464,74.29921818106772,76.41053105982525,,79.21674430144783,76.43644259557286,73.4304567940507,73.5907616728961,,,81.70162439187364,77.92234632369329,75.14537126869456,77.9558441619646,,68.44103832035347,74.96097944799368,,85.49296804728012,85.39375028414288,94.99360132633328,94.34269066845161,85.327000829414,91.3190988097674,,91.14502798060667,,86.28541102900614,87.03282056615987,88.57683418298807,,94.92297928651489,93.95119818178244,90.96041225492378,87.46940530614891,92.46375264331925
2023-04-02,37.33289052534192,66.30547968046706,70.4486460342942,107.46759319118492,71.53098396119458,74.5570252670205,75.26359202091108,75.90195360975554,84.06779494245184,55.739760894393434,67.82614400533836,70.12509972989994,69.49240774046693,76.47021032150757,116.35826389355556,73.47326536006737,85.96615435311517,74.15225459749107,69.21747106676322,77.88457991426922,62.77665190522481,,77.79524395083308,61.6864019587243,69.26083907279495,70.66260014552323,,,113.85619939791474,64.77172183406803,71.07207989790993,63.44998849612989,,76.8786697833157,70.67359873566615,,104.23882736954816,114.56604248006778,107.56826286224087,108.18715047855059,101.54024745885341,104.9519092468717,,101.12470283495836,,102.89125111715224,106.38994509205483,107.17468234960727,,109.25521372701836,116.4122633231804,106.07892026142355,113.47336839651669,107.92097973962765
2023-04-09,80.81143364069302,89.8292053354312,65.83213598972401,57.45690305652364,59.95908140426394,89.2259325759352,67.49839428539283,61.739720466402275,77.27609775076309,76.15194307735608,69.65954622959345,91.1005993072695,91.76519769818744,87.28265954024685,78.1951848807122,88.75520617771417,127.69688823707058,61.3642128956481,108.1831289618947,3.6313775811745947,76.5857916755547,,93.0764427287208,70.33037248644851,63.584725391509615,73.62179721442486,,,50.772082122915535,81.65429835285398,86.93452324255354,63.192594590997416,,47.42783079594153,94.49020620418658,,55.384515495629216,87.71255777826124,65.67141346195673,81.8608243549612,53.25767020120999,59.72593798653864,,68.53272736763856,,53.17320837148748,77.57314531273306,72.36418745440987,,73.8437326465522,63.721184049021126,49.590107719226566,76.56413337647236,100.4562601816197
2023-04-16,51.779001212691895,42.62236143896426,40.03329931812392,46.4212437196507,44.505424133082016,42.2537168912011,44.02189494307501,45.7206204236104,48.808006369190245,39.88461083110373,34.17809034138137,46.605438378686024,41.33937436829551,41.648820220490435,43.699765995737174,42.81244438603217,52.278203176047256,43.157644971424,44.025532339812486,11.253244981939803,40.181503018914896,,53.99644230567594,38.49147574134413,40.161606344057766,42.33406578641093,,,44.91933834681717,45.06813222628196,39.9599074606991,42.82527568612585,,43.252453551673064,41.04237524331819,,86.61701032437179,95.62585075530868,84.68623735263984,90.26691803315585,83.95333331949355,82.13711851888516,,85.64195885144998,,83.97837134022208,83.44012675775042,83.73927049412528,,92.03319374897329,101.28000009592517,82.58248484212513,88.16022264033626,90.40104216208097
2023-04-23,93.2409626732435,69.6505454729998,67.64660282569508,73.96441427524114,71.2738385459288,69.90785835726564,72.04377160082502,72.52402547300778,70.29182726806722,71.41282259391319,64.97407766003379,71.26547442656289,64.8813524545012,68.96228242576723,71.80365751340115,68.33892501695027,87.14060693079024,68.61903545139705,88.84214717228365,68.37143386676951,66.67729675578691,75.41515510960679,68.533095929726,66.39786035913826,70.78471943507657,66.92438274292918,,,76.714993570691,63.843291000653714,67.11635455308509,67.31214552212144,,57.710786218381145,67.14831394749751,,120.9477364829614,123.69665199569562,129.33063498277275,119.37942064366601,118.41236307801248,118.28054267847446,,110.16613970934999,,114.91866022981282,114.48273641717988,116.87659303781713,,122.59455438170805,119.16604616853895,116.63689419397953,127.24369530071823,113.291289075042
2023-04-30,90.2,72.69242973733945,63.43675622878966,89.35758258592575,73.065543354698,71.13445105604241,73.15636117863225,79.40100192668287,76.00683075201802,68.52119596334147,61.158258861182105,76.66909274338762,67.70150116772173,64.92038506569327,87.33481027542244,83.02993854861707,70.20194294426018,75.56905295362421,79.2648087386679,74.2324740251851,71.74847512247729,73.53370176094992,78.58094526148089,57.90693107698754,68.49590638053816,66.86810370361987,,,91.81190382812025,66.33743901234106,63.30972565527202,69.59621831622862,,74.24171705851876,65.6544779568474,,112.2792228191137,113.16565196003796,124.22555160922077,108.64463549582042,115.8570184441407,117.42475013228656,,111.71069088857332,,116.05306852555256,108.17883014898199,110.4774072922334,,102.95138783767891,110.57675931510272,125.72355016200383,121.29527368135902,98.13011795225515
2023-05-07,127.18939380323204,95.1885037280934,91.66075069623913,105.59078094218876,96.36745803429642,87.37097571477977,103.09815143802747,97.1669304912378,133.58923219772976,106.08838753298612,90.87310476771391,103.21754313371991,97.85587719787002,99.26175505262185,114.07950633444581,94.70987539636299,107.36593329944452,104.28084670616823,101.06241457474901,106.48043221594388,94.38268176397823,103.25808976773044,102.74332216499354,100.197495831262,103.62573947808148,95.10499619800196,,,118.60729346827296,99.74856397983471,91.94609569049572,88.51049804431219,,94.7299524965705,92.621788764798,,130.43102992255535,143.46470545368024,131.31323990512917,134.10569741573917,134.57335573165557,140.94700040534892,,134.0063747025163,,138.46986716906338,133.48941515013667,141.4634108788845,,149.8668407114183,151.41559252348532,150.23679302408382,150.13248627803418,140.2483775689121
